mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_max_depth,param_min_samples_split,param_n_estimators,param_kernel,param_n_neighbors,param_weights,param_alpha,param_hidden_layer_sizes
0.04275822639465332,0.0009147516704886801,0.0026755332946777344,0.00038229935553489195,,,"{'max_depth': 15, 'min_samples_split': 10}",0.779246116202638,0.7913747803072205,0.8377434227279427,0.899034299034299,0.8739044311333467,0.8362606098810893,0.04609811763675185,7,DecisionTreeClassifier,15,10,,,,,,
0.39319558143615724,0.016043830025030563,0.012548494338989257,0.0031104988068742213,,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.9124161898156175,0.931359649122807,0.8938475868816426,0.9649572649572651,0.982328174108996,0.9369817729772656,0.03266361403752309,17,RandomForestClassifier,,2,50,,,,,
0.7425625324249268,0.016857427036633,0.015488004684448243,0.0004184174360437974,,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9166496759699466,0.9480701982544361,0.9071704945893843,0.964976828077227,0.982439174219996,0.9438612742221981,0.028420135164560763,6,RandomForestClassifier,,2,100,,,,,
1.653446340560913,0.3181000429111879,0.033362531661987306,0.011058388838952132,,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9165978636864712,0.9521313796890354,0.9131866281866281,0.9781704781704782,0.982439174219996,0.9485051047905217,0.02936042281694184,1,RandomForestClassifier,,2,200,,,,,
0.602692699432373,0.06617050939554411,0.018037128448486327,0.004931476976460063,,,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.907864056641584,0.9439977971180408,0.9090390131956396,0.9514841464841464,0.9691015132873986,0.9362973053453618,0.024155818755697986,18,RandomForestClassifier,,5,50,,,,,
1.2087664604187012,0.22579694302905282,0.027425289154052734,0.01096357616537865,,,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.907864056641584,0.9526462877562144,0.9081346358828117,0.9562542720437457,0.9780546698354917,0.9405907844319696,0.02799522460922355,9,RandomForestClassifier,,5,100,,,,,
1.5152637481689453,0.05545647406006174,0.027643108367919923,0.0007738372297941869,,,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9124106022840199,0.9610213134263766,0.9170534763140803,0.9651304251304252,0.982439174219996,0.9476109982749797,0.027830194881715557,3,RandomForestClassifier,,5,200,,,,,
0.37423930168151853,0.008492721581996685,0.009460973739624023,0.0004291342466087918,,,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.8945104915041625,0.9350456225456224,0.8781520182179693,0.9694444567862289,0.9735912235912236,0.9301487625290413,0.03854640327944827,27,RandomForestClassifier,,10,50,,,,,
0.7279377460479737,0.00943208977430478,0.01733431816101074,0.004307310962408797,,,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.8860910959645136,0.9396410951288999,0.8867774185495704,0.9737576350590049,0.9780277153694875,0.9328589920142953,0.040173765093656874,23,RandomForestClassifier,,10,100,,,,,
1.65040283203125,0.38591593709307503,0.032931852340698245,0.012677706007880393,,,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.8993306049934965,0.9564562742038033,0.8856360831020486,0.9738483738483739,0.9780277153694875,0.9386598103034419,0.038634396896137464,13,RandomForestClassifier,,10,200,,,,,
0.5215764999389648,0.04087896442992457,0.013188457489013672,0.0029780626586170906,,,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.8509526665667017,0.9089991257079865,0.8265635680109366,0.9136327293165823,0.9379807927276281,0.8876257764659672,0.04181463764806962,29,RandomForestClassifier,5,2,50,,,,,
1.103665018081665,0.14570948197254352,0.02749605178833008,0.007532652411713143,,,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.8541728405567323,0.9037593609219569,0.8221326189015672,0.910032132068272,0.9467747946524717,0.8873743494202,0.043975175274486224,30,RandomForestClassifier,5,2,100,,,,,
1.234621524810791,0.08526439006281021,0.025567150115966795,0.002373657491595481,,,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.8540211158237695,0.8985850157393607,0.8414002808641676,0.9194184416406639,0.9422515922515923,0.8911352892639108,0.03826053971057262,28,RandomForestClassifier,5,2,200,,,,,
